,listing_neighborhood,# inquiries,booking_rate,bookings,contact_me,book_it,instant_book
1,Copacabana,6158,44.51%,2741,2767,1783,1608
2,Ipanema,2766,47.32%,1309,1065,898,803
3,Leblon,962,46.36%,446,416,326,220
4,Barra da Tijuca,960,36.56%,351,507,257,196
5,Botafogo,708,41.24%,292,322,232,154
6,Santa Teresa,546,61.36%,335,176,145,225
7,Flamengo,414,49.28%,204,159,136,119
8,Lapa,406,57.64%,234,143,83,180
9,Leme,371,45.01%,167,,,
10,Recreio dos Bandeirantes,224,40.63%,91,,,
11,Laranjeiras,184,39.67%,73,,,
12,Lagoa,157,50.32%,79,,,
13,Glória,117,41.88%,49,,,
14,Centro,108,51.85%,56,,,
15,Catete,103,34.95%,36,,,
16,Tijuca,103,42.72%,44,,,
17,Vidigal,103,54.37%,56,,,
18,,84,35.71%,30,,,
19,Gávea,82,41.46%,34,,,
20,Jardim Botânico,71,35.21%,25,,,
21,Urca,71,64.79%,46,,,
22,Humaitá,58,48.28%,28,,,
23,Vila Isabel,50,30.00%,15,,,
24,Cosme Velho,38,57.89%,22,,,
25,São Conrado,38,42.11%,16,,,
26,Estacio,32,65.63%,21,,,
27,Maracanã,30,53.33%,16,,,
28,Rio Comprido,27,29.63%,8,,,
29,Praça da Bandeira,24,41.67%,10,,,
30,São Cristóvão,16,31.25%,5,,,
31,Grajaú,13,30.77%,4,,,
32,Engenho de Dentro,12,50.00%,6,,,
33,Joá,11,27.27%,3,,,
34,Santo Cristo,11,72.73%,8,,,
35,Rocha,10,40.00%,4,,,
36,Engenho Novo,8,25.00%,2,,,
37,Penha Circular,8,0.00%,0,,,
38,Méier,7,71.43%,5,,,
39,Penha,7,28.57%,2,,,
40,Andaraí,6,66.67%,4,,,
41,Brás de Pina,6,0.00%,0,,,
42,Todos os Santos,5,80.00%,4,,,
43,Barros Filho,4,0.00%,0,,,
44,Catumbi,4,75.00%,3,,,
45,Cidade Nova,4,25.00%,1,,,
46,Gamboa,4,25.00%,1,,,
47,Parada de Lucas,4,50.00%,2,,,
48,Ramos,4,75.00%,3,,,
49,Saúde,4,100.00%,4,,,
50,Bonsucesso,3,0.00%,0,,,
51,Del Castilho,3,66.67%,2,,,
52,Riachuelo,3,33.33%,1,,,
53,Benfica,2,50.00%,1,,,
54,Encantado,2,0.00%,0,,,
55,Irajá,2,50.00%,1,,,
56,Abolição,1,100.00%,1,,,
57,Coelho Neto,1,0.00%,0,,,
58,Engenho da Rainha,1,0.00%,0,,,
59,Guadalupe,1,0.00%,0,,,
60,Marechal Hermes,1,0.00%,0,,,
61,Olaria,1,0.00%,0,,,
62,Quintino Bocaiúva,1,0.00%,0,,,
63,Rocinha,1,0.00%,0,,,
64,Sampaio,1,100.00%,1,,,
65,Vaz Lobo,1,0.00%,0,,,
66,Vigário Geral,1,0.00%,0,,,
67,Vila da Penha,1,0.00%,0,,,
