,guest_size,total_interactions,message_length,channel,user_stage,total_reviews,lead_time,days_of_stay,reply_t,accept_t,replied,accepted,booked
3,2.0,3,203.0,contact_me,new,17.0,21,2,,0.0,1,1,0
6,6.0,7,29.0,contact_me,past_booker,0.0,67,8,2.566666666666667,3379.416666666666,1,1,0
33,4.0,5,69.0,contact_me,new,0.0,15,5,3548.883333333333,1311.3833333333334,1,1,0
45,6.0,7,414.0,contact_me,new,16.0,8,8,69.35,0.26666666666666666,1,1,0
50,1.0,3,89.0,contact_me,new,1.0,33,179,,0.0,1,1,0
58,4.0,7,195.0,contact_me,new,3.0,213,7,71.88333333333334,0.2500000000000001,1,1,0
62,2.0,7,194.0,contact_me,past_booker,14.0,134,21,1060.2833333333335,1.5833333333333333,1,1,0
63,2.0,6,688.0,contact_me,new,54.0,230,62,70.5,455.41666666666674,1,1,0
68,16.0,2,102.0,contact_me,new,0.0,10,3,,0.0,1,1,0
75,4.0,3,359.0,contact_me,past_booker,2.0,202,6,175.21666666666667,0.16666666666666666,1,1,0
82,2.0,4,45.0,contact_me,past_booker,13.0,6,3,10.933333333333335,109.25,1,1,0
85,2.0,2,329.0,contact_me,new,0.0,64,5,,0.0,1,1,0
92,2.0,42,152.0,contact_me,new,1.0,44,3,,0.0,1,1,1
98,4.0,3,66.0,contact_me,past_booker,10.0,16,4,,0.0,1,1,0
99,1.0,20,461.0,contact_me,new,0.0,57,7,186.0,744.3,1,1,0
102,2.0,5,29.0,contact_me,new,0.0,74,11,2.283333333333333,0.26666666666666666,1,1,0
104,1.0,7,107.0,contact_me,past_booker,0.0,2,3,,0.0,1,1,0
105,1.0,5,323.0,contact_me,past_booker,0.0,35,46,,0.0,1,1,0
106,2.0,3,214.0,contact_me,new,15.0,8,5,,0.0,1,1,0
113,4.0,4,377.0,contact_me,new,5.0,70,4,397.2,1.6,1,1,0
116,6.0,10,129.0,contact_me,new,20.0,66,3,28.85,0.016666666666666666,1,1,1
117,2.0,5,335.0,contact_me,past_booker,38.0,26,5,250.6,0.5333333333333333,1,1,0
134,4.0,7,173.0,contact_me,past_booker,3.0,22,8,7.0,0.03333333333333333,1,1,0
135,2.0,23,274.0,contact_me,new,0.0,87,16,1087.5333333333335,450.6833333333333,1,1,1
136,3.0,8,1080.0,contact_me,new,0.0,88,14,,0.0,1,1,0
140,1.0,6,76.0,contact_me,new,5.0,25,4,319.71666666666664,490.61666666666673,1,1,0
148,10.0,2,107.0,contact_me,past_booker,0.0,225,11,,0.0,1,1,0
150,7.0,6,116.0,contact_me,new,2.0,16,5,180.36666666666667,1116.7166666666667,1,1,0
154,1.0,5,71.0,contact_me,past_booker,1.0,0,15,,0.0,1,1,0
155,5.0,5,143.0,contact_me,new,0.0,61,20,,0.0,1,1,0
159,2.0,9,228.0,contact_me,past_booker,4.0,60,32,55.21666666666667,1696.3666666666666,1,1,0
162,2.0,3,501.0,contact_me,new,0.0,53,19,,0.0,1,1,0
163,2.0,4,80.0,contact_me,new,0.0,23,9,,0.0,1,1,0
167,1.0,4,416.0,contact_me,new,14.0,41,30,,0.0,1,1,0
173,2.0,3,276.0,contact_me,new,0.0,17,3,2.85,59.35,1,1,0
177,2.0,29,656.0,contact_me,new,37.0,45,2,44.8,6932.533333333334,1,1,1
178,4.0,30,200.0,contact_me,new,0.0,91,21,1.7,20002.6,1,1,1
182,1.0,3,88.0,contact_me,past_booker,2.0,27,6,,0.0,1,1,0
202,2.0,3,358.0,contact_me,new,0.0,88,69,,0.0,1,1,0
203,6.0,4,134.0,contact_me,new,1.0,39,15,8.6,367.83333333333326,1,1,0
212,4.0,25,999.0,contact_me,past_booker,1.0,100,21,36.56666666666667,1072.7,1,1,0
215,2.0,4,46.0,contact_me,past_booker,0.0,75,7,,0.0,1,1,0
226,4.0,16,30.0,contact_me,past_booker,3.0,33,8,,0.0,1,1,0
231,4.0,4,194.0,contact_me,new,0.0,153,1,6.7666666666666675,4.716666666666667,1,1,0
261,4.0,5,364.0,contact_me,new,2.0,70,105,222.2,2409.5,1,1,0
