,guest_size,total_interactions,message_length,channel,user_stage,total_reviews,lead_time,days_of_stay,reply_t,accept_t,replied,accepted,booked
0,4.0,30,31.0,book_it,past_booker,9.0,102,4,,0.0,1,1,1
1,5.0,2,312.0,contact_me,past_booker,0.0,176,11,83.58333333333333,,1,0,0
2,1.0,3,164.0,contact_me,new,49.0,46,9,159.15,,1,0,0
3,2.0,3,203.0,contact_me,new,17.0,21,2,,0.0,1,1,0
4,3.0,25,0.0,instant_book,past_booker,1.0,56,2,0.016666666666666666,0.11666666666666667,1,1,1
5,1.0,7,348.0,contact_me,new,0.0,6,5,264.03333333333336,,1,0,0
6,6.0,7,29.0,contact_me,past_booker,0.0,67,8,2.566666666666667,3379.416666666666,1,1,0
7,1.0,8,782.0,instant_book,new,39.0,349,7,,0.0,1,1,1
8,1.0,6,0.0,instant_book,past_booker,40.0,21,2,,0.0,1,1,1
9,4.0,6,128.0,book_it,new,3.0,107,5,4.866666666666666,,1,0,0
10,4.0,2,128.0,contact_me,new,3.0,26,3,1269.6166666666666,,1,0,0
11,4.0,6,280.0,book_it,new,0.0,71,5,4246.633333333334,,1,0,0
12,2.0,8,290.0,book_it,new,32.0,23,4,,0.0,1,1,1
13,3.0,5,165.0,book_it,new,12.0,109,15,2370.016666666667,,1,0,0
14,1.0,143,395.0,book_it,past_booker,9.0,40,90,22.05,10.216666666666667,1,1,1
15,3.0,2,196.0,book_it,new,0.0,213,10,,,0,0,0
16,4.0,5,81.0,book_it,past_booker,21.0,50,7,16.333333333333336,,1,0,0
17,8.0,4,149.0,contact_me,new,5.0,121,4,5.766666666666668,,1,0,0
18,2.0,21,550.0,instant_book,past_booker,47.0,47,9,,0.0,1,1,1
19,1.0,2,409.0,contact_me,new,14.0,0,3,117.85,,1,0,0
20,1.0,7,41.0,instant_book,new,21.0,0,2,,0.0,1,1,1
21,2.0,5,32.0,book_it,past_booker,1.0,86,3,1014.2166666666667,,1,0,0
22,1.0,15,342.0,instant_book,new,9.0,93,8,,0.0,1,1,1
23,1.0,8,317.0,instant_book,past_booker,34.0,80,7,,0.0,1,1,1
24,5.0,10,255.0,contact_me,new,1.0,47,8,4.666666666666667,,1,0,0
25,1.0,5,217.0,instant_book,past_booker,86.0,0,3,,0.0,1,1,1
26,2.0,5,700.0,contact_me,new,34.0,44,7,2933.0333333333333,,1,0,0
27,1.0,3,22.0,book_it,past_booker,55.0,52,1,1.9333333333333336,,1,0,0
28,2.0,9,269.0,instant_book,past_booker,22.0,11,4,,0.0,1,1,1
29,4.0,2,83.0,contact_me,past_booker,1.0,14,3,,,0,0,0
30,1.0,3,85.0,contact_me,new,1.0,3,4,910.5666666666667,,1,0,0
31,5.0,3,69.0,contact_me,past_booker,2.0,56,9,23.28333333333333,,1,0,0
32,1.0,1,201.0,book_it,past_booker,0.0,37,13,,,0,0,0
33,4.0,5,69.0,contact_me,new,0.0,15,5,3548.883333333333,1311.3833333333334,1,1,0
34,4.0,12,306.0,instant_book,new,0.0,132,9,,0.0,1,1,1
35,1.0,4,366.0,contact_me,new,0.0,115,36,677.1666666666666,,1,0,0
36,3.0,4,496.0,book_it,past_booker,29.0,19,7,87.96666666666668,,1,0,0
37,6.0,3,142.0,contact_me,new,26.0,133,84,1.95,,1,0,0
38,4.0,4,243.0,book_it,new,0.0,181,7,101.13333333333334,,1,0,0
39,2.0,8,191.0,instant_book,past_booker,4.0,3,4,,0.0,1,1,1
40,1.0,5,537.0,book_it,new,7.0,199,2,806.95,,1,0,0
41,6.0,1,240.0,book_it,past_booker,0.0,132,6,,,0,0,0
42,1.0,3,166.0,contact_me,new,17.0,75,7,38.03333333333333,,1,0,0
43,3.0,6,578.0,instant_book,past_booker,0.0,72,3,,0.0,1,1,1
44,2.0,4,611.0,contact_me,new,0.0,216,1,2773.366666666667,,1,0,0
45,6.0,7,414.0,contact_me,new,16.0,8,8,69.35,0.26666666666666666,1,1,0
46,2.0,3,0.0,book_it,new,26.0,0,3,,0.0,1,1,1
47,2.0,9,264.0,instant_book,new,66.0,12,1,,0.0,1,1,1
48,3.0,16,0.0,instant_book,past_booker,18.0,65,6,,0.0,1,1,1
49,1.0,3,141.0,contact_me,past_booker,13.0,1,2,961.5833333333336,,1,0,0
50,1.0,3,89.0,contact_me,new,1.0,33,179,,0.0,1,1,0
51,1.0,5,660.0,contact_me,new,0.0,80,213,2436.5,,1,0,0
52,2.0,3,210.0,book_it,past_booker,0.0,56,6,83.58333333333333,,1,0,0
53,2.0,2,127.0,contact_me,past_booker,2.0,99,4,140.31666666666666,,1,0,0
54,6.0,4,396.0,contact_me,new,1.0,199,2,48.7,,1,0,0
55,2.0,2,0.0,book_it,new,29.0,195,2,13.616666666666667,,1,0,0
56,2.0,6,117.0,instant_book,new,11.0,14,10,,0.0,1,1,1
57,5.0,11,195.0,book_it,new,10.0,4,6,,0.0,1,1,1
58,4.0,7,195.0,contact_me,new,3.0,213,7,71.88333333333334,0.2500000000000001,1,1,0
59,1.0,7,285.0,contact_me,new,0.0,208,3,918.0333333333333,,1,0,0
60,1.0,5,219.0,instant_book,past_booker,25.0,43,7,,0.0,1,1,1
61,1.0,3,90.0,contact_me,past_booker,43.0,303,7,727.95,,1,0,0
62,2.0,7,194.0,contact_me,past_booker,14.0,134,21,1060.2833333333335,1.5833333333333333,1,1,0
63,2.0,6,688.0,contact_me,new,54.0,230,62,70.5,455.41666666666674,1,1,0
64,2.0,3,112.0,contact_me,past_booker,14.0,240,4,361.13333333333327,,1,0,0
65,9.0,2,168.0,contact_me,new,0.0,108,7,1215.1166666666666,,1,0,0
66,1.0,3,539.0,book_it,past_booker,6.0,3,11,1280.2166666666667,,1,0,0
67,2.0,6,628.0,book_it,new,1.0,135,34,495.05000000000007,,1,0,0
68,16.0,2,102.0,contact_me,new,0.0,10,3,,0.0,1,1,0
69,6.0,2,62.0,contact_me,past_booker,2.0,253,7,1.7,,1,0,0
70,2.0,5,515.0,contact_me,new,14.0,237,356,12.233333333333333,,1,0,0
71,2.0,3,57.0,contact_me,new,5.0,25,3,678.6666666666666,,1,0,0
72,3.0,7,133.0,instant_book,new,87.0,1,2,,0.0,1,1,1
73,2.0,4,4.0,book_it,new,0.0,125,8,7227.35,,1,0,0
74,1.0,5,0.0,book_it,new,1.0,16,5,,0.0,1,1,1
75,4.0,3,359.0,contact_me,past_booker,2.0,202,6,175.21666666666667,0.16666666666666666,1,1,0
76,2.0,10,312.0,book_it,past_booker,13.0,38,1,8.633333333333333,2356.016666666667,1,1,1
77,6.0,3,0.0,book_it,new,3.0,214,4,12.2,,1,0,0
