,guest_size,message_length,total_reviews,lead_time,days_of_stay,replied,not_replied,contact_me,past_booker
1,5.0,312.0,0.0,176,11,1,0,1,1
2,1.0,164.0,49.0,46,9,1,0,1,0
4,1.0,348.0,0.0,6,5,1,0,1,0
5,6.0,29.0,0.0,67,8,1,0,1,1
6,4.0,128.0,3.0,107,5,1,0,0,0
7,4.0,128.0,3.0,26,3,1,0,1,0
8,4.0,280.0,0.0,71,5,1,0,0,0
10,3.0,165.0,12.0,109,15,1,0,0,0
11,1.0,395.0,9.0,40,90,1,0,0,1
12,3.0,196.0,0.0,213,10,0,1,0,0
13,4.0,81.0,21.0,50,7,1,0,0,1
14,8.0,149.0,5.0,121,4,1,0,1,0
15,1.0,409.0,14.0,0,3,1,0,1,0
16,2.0,32.0,1.0,86,3,1,0,0,1
17,5.0,255.0,1.0,47,8,1,0,1,0
18,2.0,700.0,34.0,44,7,1,0,1,0
19,1.0,22.0,55.0,52,1,1,0,0,1
20,4.0,83.0,1.0,14,3,0,1,1,1
21,1.0,85.0,1.0,3,4,1,0,1,0
22,5.0,69.0,2.0,56,9,1,0,1,1
23,1.0,201.0,0.0,37,13,0,1,0,1
24,4.0,69.0,0.0,15,5,1,0,1,0
25,1.0,366.0,0.0,115,36,1,0,1,0
26,3.0,496.0,29.0,19,7,1,0,0,1
27,6.0,142.0,26.0,133,84,1,0,1,0
28,4.0,243.0,0.0,181,7,1,0,0,0
29,1.0,537.0,7.0,199,2,1,0,0,0
30,6.0,240.0,0.0,132,6,0,1,0,1
31,1.0,166.0,17.0,75,7,1,0,1,0
32,2.0,611.0,0.0,216,1,1,0,1,0
33,6.0,414.0,16.0,8,8,1,0,1,0
35,1.0,141.0,13.0,1,2,1,0,1,1
37,1.0,660.0,0.0,80,213,1,0,1,0
38,2.0,210.0,0.0,56,6,1,0,0,1
39,2.0,127.0,2.0,99,4,1,0,1,1
40,6.0,396.0,1.0,199,2,1,0,1,0
41,2.0,0.0,29.0,195,2,1,0,0,0
43,4.0,195.0,3.0,213,7,1,0,1,0
44,1.0,285.0,0.0,208,3,1,0,1,0
45,1.0,90.0,43.0,303,7,1,0,1,1
46,2.0,194.0,14.0,134,21,1,0,1,1
47,2.0,688.0,54.0,230,62,1,0,1,0
48,2.0,112.0,14.0,240,4,1,0,1,1
49,9.0,168.0,0.0,108,7,1,0,1,0
50,1.0,539.0,6.0,3,11,1,0,0,1
51,2.0,628.0,1.0,135,34,1,0,0,0
53,6.0,62.0,2.0,253,7,1,0,1,1
54,2.0,515.0,14.0,237,356,1,0,1,0
55,2.0,57.0,5.0,25,3,1,0,1,0
56,2.0,4.0,0.0,125,8,1,0,0,0
58,4.0,359.0,2.0,202,6,1,0,1,1
59,2.0,312.0,13.0,38,1,1,0,0,1
60,6.0,0.0,3.0,214,4,1,0,0,0
61,2.0,143.0,10.0,7,2,1,0,0,1
62,1.0,89.0,3.0,116,4,1,0,0,1
63,2.0,335.0,0.0,12,30,1,0,1,1
64,3.0,396.0,0.0,65,28,1,0,1,1
65,2.0,45.0,13.0,6,3,1,0,1,1
67,12.0,144.0,3.0,23,5,1,0,0,0
68,4.0,0.0,0.0,1,4,1,0,0,0
69,1.0,608.0,4.0,208,14,1,0,0,1
71,4.0,37.0,0.0,9,1,1,0,0,1
72,1.0,301.0,0.0,185,13,1,0,1,0
73,2.0,370.0,18.0,345,7,1,0,0,1
74,2.0,227.0,0.0,37,7,1,0,0,0
76,1.0,461.0,0.0,57,7,1,0,1,0
77,4.0,146.0,0.0,59,2,1,0,0,1
78,2.0,71.0,0.0,69,7,1,0,0,0
79,2.0,29.0,0.0,74,11,1,0,1,0
80,8.0,411.0,0.0,131,1,1,0,1,0
84,2.0,35.0,0.0,128,7,1,0,1,0
85,2.0,112.0,0.0,10,3,1,0,1,0
86,5.0,167.0,1.0,31,4,1,0,1,1
87,2.0,320.0,0.0,217,8,1,0,1,0
88,4.0,65.0,0.0,106,2,1,0,1,0
89,4.0,267.0,9.0,45,2,1,0,0,1
90,4.0,377.0,5.0,70,4,1,0,1,0
91,1.0,431.0,10.0,123,13,1,0,0,0
92,6.0,129.0,20.0,66,3,1,0,1,0
93,2.0,335.0,38.0,26,5,1,0,1,1
95,1.0,0.0,1.0,2,1,1,0,0,0
96,1.0,118.0,2.0,31,5,0,1,1,0
97,1.0,0.0,0.0,198,3,1,0,0,0
98,6.0,61.0,1.0,22,5,1,0,1,0
99,6.0,267.0,6.0,147,3,1,0,0,0
100,1.0,690.0,0.0,3,3,1,0,1,1
101,1.0,125.0,4.0,188,7,1,0,1,0
102,8.0,94.0,0.0,22,5,0,1,1,1
103,4.0,173.0,3.0,22,8,1,0,1,1
104,2.0,274.0,0.0,87,16,1,0,1,0
107,2.0,138.0,0.0,218,10,0,1,1,0
108,1.0,76.0,5.0,25,4,1,0,1,0
109,2.0,590.0,0.0,193,5,1,0,0,0
110,8.0,62.0,0.0,27,5,1,0,1,0
111,2.0,228.0,0.0,144,6,1,0,0,0
113,2.0,301.0,8.0,2,3,1,0,0,1
115,7.0,116.0,2.0,16,5,1,0,1,0
116,2.0,255.0,0.0,29,3,1,0,1,0
117,2.0,0.0,0.0,102,7,1,0,0,0
121,4.0,787.0,4.0,133,7,1,0,1,0
122,16.0,244.0,0.0,344,5,1,0,1,0
123,2.0,625.0,16.0,3,2,1,0,0,0
124,2.0,228.0,4.0,60,32,1,0,1,1
127,2.0,91.0,0.0,78,10,0,1,1,0
128,1.0,67.0,1.0,0,2,1,0,0,1
129,4.0,39.0,144.0,133,2,1,0,0,1
131,4.0,146.0,2.0,3,2,1,0,1,0
132,1.0,365.0,0.0,190,6,1,0,1,0
133,2.0,138.0,2.0,34,7,1,0,0,1
134,2.0,276.0,0.0,17,3,1,0,1,0
135,2.0,411.0,1.0,62,16,1,0,0,0
136,2.0,656.0,37.0,45,2,1,0,1,0
137,4.0,200.0,0.0,91,21,1,0,1,0
138,2.0,252.0,0.0,0,2,1,0,1,1
139,2.0,295.0,22.0,96,4,1,0,0,1
141,2.0,247.0,0.0,196,5,1,0,0,0
142,2.0,343.0,10.0,184,2,1,0,0,0
143,8.0,119.0,5.0,22,5,1,0,0,0
