,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,accept_t,booked,past_booker
0,2.0,3,203.0,17.0,21,2,0.0,0,0
1,6.0,7,29.0,0.0,67,8,3379.416666666666,0,1
2,4.0,5,69.0,0.0,15,5,1311.3833333333334,0,0
3,6.0,7,414.0,16.0,8,8,0.26666666666666666,0,0
4,1.0,3,89.0,1.0,33,179,0.0,0,0
5,4.0,7,195.0,3.0,213,7,0.2500000000000001,0,0
6,2.0,7,194.0,14.0,134,21,1.5833333333333333,0,1
7,2.0,6,688.0,54.0,230,62,455.41666666666674,0,0
8,16.0,2,102.0,0.0,10,3,0.0,0,0
9,4.0,3,359.0,2.0,202,6,0.16666666666666666,0,1
10,2.0,4,45.0,13.0,6,3,109.25,0,1
11,2.0,2,329.0,0.0,64,5,0.0,0,0
12,2.0,42,152.0,1.0,44,3,0.0,1,0
13,4.0,3,66.0,10.0,16,4,0.0,0,1
14,1.0,20,461.0,0.0,57,7,744.3,0,0
15,2.0,5,29.0,0.0,74,11,0.26666666666666666,0,0
16,1.0,7,107.0,0.0,2,3,0.0,0,1
17,1.0,5,323.0,0.0,35,46,0.0,0,1
18,2.0,3,214.0,15.0,8,5,0.0,0,0
19,4.0,4,377.0,5.0,70,4,1.6,0,0
20,6.0,10,129.0,20.0,66,3,0.016666666666666666,1,0
21,2.0,5,335.0,38.0,26,5,0.5333333333333333,0,1
22,4.0,7,173.0,3.0,22,8,0.03333333333333333,0,1
23,2.0,23,274.0,0.0,87,16,450.6833333333333,1,0
24,3.0,8,1080.0,0.0,88,14,0.0,0,0
25,1.0,6,76.0,5.0,25,4,490.61666666666673,0,0
26,10.0,2,107.0,0.0,225,11,0.0,0,1
27,7.0,6,116.0,2.0,16,5,1116.7166666666667,0,0
28,1.0,5,71.0,1.0,0,15,0.0,0,1
29,5.0,5,143.0,0.0,61,20,0.0,0,0
30,2.0,9,228.0,4.0,60,32,1696.3666666666666,0,1
31,2.0,3,501.0,0.0,53,19,0.0,0,0
32,2.0,4,80.0,0.0,23,9,0.0,0,0
33,1.0,4,416.0,14.0,41,30,0.0,0,0
34,2.0,3,276.0,0.0,17,3,59.35,0,0
35,2.0,29,656.0,37.0,45,2,6932.533333333334,1,0
36,4.0,30,200.0,0.0,91,21,20002.6,1,0
37,1.0,3,88.0,2.0,27,6,0.0,0,1
38,2.0,3,358.0,0.0,88,69,0.0,0,0
39,6.0,4,134.0,1.0,39,15,367.83333333333326,0,0
40,4.0,25,999.0,1.0,100,21,1072.7,0,1
41,2.0,4,46.0,0.0,75,7,0.0,0,1
42,4.0,16,30.0,3.0,33,8,0.0,0,1
43,4.0,4,194.0,0.0,153,1,4.716666666666667,0,0
44,4.0,5,364.0,2.0,70,105,2409.5,0,0
45,4.0,4,78.0,0.0,31,4,0.0,0,0
46,2.0,9,290.0,2.0,260,11,0.0,0,0
47,4.0,39,271.0,15.0,120,6,958.65,1,0
48,3.0,7,114.0,0.0,26,11,1420.666666666667,0,1
49,4.0,9,231.0,0.0,66,8,8803.5,0,0
50,2.0,4,131.0,13.0,197,14,0.0,0,1
51,2.0,3,250.0,0.0,53,5,0.0,0,0
52,1.0,4,44.0,0.0,168,30,758.8333333333335,0,0
53,1.0,5,333.0,8.0,69,4,68.9,0,0
54,4.0,18,142.0,16.0,2,5,0.0,0,0
55,1.0,3,236.0,0.0,114,7,0.0,0,0
56,3.0,6,352.0,0.0,38,23,743.1,0,0
57,1.0,4,258.0,20.0,5,7,0.15,0,0
58,4.0,5,249.0,5.0,68,2,0.9833333333333336,0,0
59,2.0,8,418.0,1.0,105,13,0.0,0,0
60,1.0,8,82.0,1.0,99,11,58.58333333333334,0,0
61,2.0,18,279.0,7.0,73,10,0.0,1,0
62,1.0,10,534.0,1.0,97,4,0.0,0,1
63,6.0,50,277.0,0.0,66,8,281.96666666666664,1,1
64,2.0,56,178.0,0.0,0,152,1035.1333333333334,0,0
65,7.0,5,179.0,9.0,156,3,0.0,0,0
66,1.0,6,588.0,87.0,0,3,0.5333333333333333,0,1
67,3.0,4,116.0,17.0,67,2,0.0,0,0
68,2.0,3,139.0,27.0,29,5,0.13333333333333333,0,0
69,4.0,25,321.0,1.0,109,10,65.30000000000001,1,0
70,2.0,3,112.0,9.0,22,2,105.86666666666666,0,0
71,1.0,3,28.0,0.0,176,21,2.333333333333333,0,1
72,1.0,7,193.0,15.0,9,29,183.41666666666663,0,0
73,2.0,17,112.0,22.0,4,4,0.21666666666666667,0,0
74,2.0,5,226.0,0.0,6,3,0.0,0,1
75,3.0,3,61.0,39.0,34,4,4.733333333333333,0,0
76,2.0,10,190.0,43.0,12,4,1022.4166666666667,1,1
77,2.0,5,302.0,3.0,10,4,0.0,0,0
78,4.0,23,54.0,6.0,2,4,436.78333333333336,0,0
