,guest_size,message_length,total_reviews,lead_time,days_of_stay,replied,rt_Entire_home/apt,rt_Private room,rt_Shared room,contact_me,past_booker,not_replied
1,5.0,312.0,0.0,176,11,1,1,0,0,1,1,0
2,1.0,164.0,49.0,46,9,1,0,1,0,1,0,0
5,1.0,348.0,0.0,6,5,1,1,0,0,1,0,0
6,6.0,29.0,0.0,67,8,1,1,0,0,1,1,0
9,4.0,128.0,3.0,107,5,1,1,0,0,0,0,0
10,4.0,128.0,3.0,26,3,1,1,0,0,1,0,0
11,4.0,280.0,0.0,71,5,1,1,0,0,0,0,0
13,3.0,165.0,12.0,109,15,1,1,0,0,0,0,0
14,1.0,395.0,9.0,40,90,1,1,0,0,0,1,0
15,3.0,196.0,0.0,213,10,0,1,0,0,0,0,1
16,4.0,81.0,21.0,50,7,1,1,0,0,0,1,0
17,8.0,149.0,5.0,121,4,1,1,0,0,1,0,0
19,1.0,409.0,14.0,0,3,1,0,1,0,1,0,0
21,2.0,32.0,1.0,86,3,1,0,1,0,0,1,0
24,5.0,255.0,1.0,47,8,1,1,0,0,1,0,0
26,2.0,700.0,34.0,44,7,1,1,0,0,1,0,0
27,1.0,22.0,55.0,52,1,1,0,1,0,0,1,0
29,4.0,83.0,1.0,14,3,0,1,0,0,1,1,1
30,1.0,85.0,1.0,3,4,1,0,1,0,1,0,0
31,5.0,69.0,2.0,56,9,1,1,0,0,1,1,0
32,1.0,201.0,0.0,37,13,0,0,1,0,0,1,1
33,4.0,69.0,0.0,15,5,1,1,0,0,1,0,0
35,1.0,366.0,0.0,115,36,1,0,1,0,1,0,0
36,3.0,496.0,29.0,19,7,1,1,0,0,0,1,0
37,6.0,142.0,26.0,133,84,1,1,0,0,1,0,0
38,4.0,243.0,0.0,181,7,1,1,0,0,0,0,0
40,1.0,537.0,7.0,199,2,1,0,1,0,0,0,0
41,6.0,240.0,0.0,132,6,0,1,0,0,0,1,1
42,1.0,166.0,17.0,75,7,1,1,0,0,1,0,0
44,2.0,611.0,0.0,216,1,1,1,0,0,1,0,0
45,6.0,414.0,16.0,8,8,1,1,0,0,1,0,0
49,1.0,141.0,13.0,1,2,1,1,0,0,1,1,0
51,1.0,660.0,0.0,80,213,1,1,0,0,1,0,0
52,2.0,210.0,0.0,56,6,1,0,1,0,0,1,0
53,2.0,127.0,2.0,99,4,1,1,0,0,1,1,0
54,6.0,396.0,1.0,199,2,1,1,0,0,1,0,0
55,2.0,0.0,29.0,195,2,1,1,0,0,0,0,0
58,4.0,195.0,3.0,213,7,1,1,0,0,1,0,0
59,1.0,285.0,0.0,208,3,1,1,0,0,1,0,0
61,1.0,90.0,43.0,303,7,1,1,0,0,1,1,0
62,2.0,194.0,14.0,134,21,1,1,0,0,1,1,0
63,2.0,688.0,54.0,230,62,1,1,0,0,1,0,0
64,2.0,112.0,14.0,240,4,1,0,1,0,1,1,0
65,9.0,168.0,0.0,108,7,1,1,0,0,1,0,0
66,1.0,539.0,6.0,3,11,1,0,1,0,0,1,0
67,2.0,628.0,1.0,135,34,1,0,1,0,0,0,0
69,6.0,62.0,2.0,253,7,1,1,0,0,1,1,0
70,2.0,515.0,14.0,237,356,1,1,0,0,1,0,0
71,2.0,57.0,5.0,25,3,1,1,0,0,1,0,0
73,2.0,4.0,0.0,125,8,1,1,0,0,0,0,0
75,4.0,359.0,2.0,202,6,1,1,0,0,1,1,0
76,2.0,312.0,13.0,38,1,1,1,0,0,0,1,0
77,6.0,0.0,3.0,214,4,1,1,0,0,0,0,0
78,2.0,143.0,10.0,7,2,1,0,1,0,0,1,0
79,1.0,89.0,3.0,116,4,1,1,0,0,0,1,0
80,2.0,335.0,0.0,12,30,1,1,0,0,1,1,0
81,3.0,396.0,0.0,65,28,1,1,0,0,1,1,0
82,2.0,45.0,13.0,6,3,1,0,1,0,1,1,0
86,12.0,144.0,3.0,23,5,1,1,0,0,0,0,0
88,4.0,0.0,0.0,1,4,1,1,0,0,0,0,0
89,1.0,608.0,4.0,208,14,1,0,1,0,0,1,0
93,4.0,37.0,0.0,9,1,1,1,0,0,0,1,0
94,1.0,301.0,0.0,185,13,1,0,0,1,1,0,0
96,2.0,370.0,18.0,345,7,1,1,0,0,0,1,0
97,2.0,227.0,0.0,37,7,1,0,1,0,0,0,0
99,1.0,461.0,0.0,57,7,1,1,0,0,1,0,0
100,4.0,146.0,0.0,59,2,1,1,0,0,0,1,0
101,2.0,71.0,0.0,69,7,1,1,0,0,0,0,0
102,2.0,29.0,0.0,74,11,1,1,0,0,1,0,0
103,8.0,411.0,0.0,131,1,1,1,0,0,1,0,0
107,2.0,35.0,0.0,128,7,1,0,1,0,1,0,0
108,2.0,112.0,0.0,10,3,1,1,0,0,1,0,0
109,5.0,167.0,1.0,31,4,1,1,0,0,1,1,0
110,2.0,320.0,0.0,217,8,1,1,0,0,1,0,0
111,4.0,65.0,0.0,106,2,1,1,0,0,1,0,0
112,4.0,267.0,9.0,45,2,1,1,0,0,0,1,0
113,4.0,377.0,5.0,70,4,1,1,0,0,1,0,0
115,1.0,431.0,10.0,123,13,1,1,0,0,0,0,0
116,6.0,129.0,20.0,66,3,1,1,0,0,1,0,0
117,2.0,335.0,38.0,26,5,1,1,0,0,1,1,0
119,1.0,0.0,1.0,2,1,1,1,0,0,0,0,0
121,1.0,118.0,2.0,31,5,0,1,0,0,1,0,1
122,1.0,0.0,0.0,198,3,1,1,0,0,0,0,0
126,6.0,61.0,1.0,22,5,1,1,0,0,1,0,0
129,6.0,267.0,6.0,147,3,1,1,0,0,0,0,0
131,1.0,690.0,0.0,3,3,1,1,0,0,1,1,0
132,1.0,125.0,4.0,188,7,1,1,0,0,1,0,0
133,8.0,94.0,0.0,22,5,0,1,0,0,1,1,1
134,4.0,173.0,3.0,22,8,1,1,0,0,1,1,0
135,2.0,274.0,0.0,87,16,1,1,0,0,1,0,0
139,2.0,138.0,0.0,218,10,0,1,0,0,1,0,1
140,1.0,76.0,5.0,25,4,1,0,1,0,1,0,0
142,2.0,590.0,0.0,193,5,1,1,0,0,0,0,0
143,8.0,62.0,0.0,27,5,1,1,0,0,1,0,0
144,2.0,228.0,0.0,144,6,1,0,1,0,0,0,0
147,2.0,301.0,8.0,2,3,1,0,1,0,0,1,0
150,7.0,116.0,2.0,16,5,1,1,0,0,1,0,0
151,2.0,255.0,0.0,29,3,1,1,0,0,1,0,0
152,2.0,0.0,0.0,102,7,1,1,0,0,0,0,0
156,4.0,787.0,4.0,133,7,1,1,0,0,1,0,0
157,16.0,244.0,0.0,344,5,1,1,0,0,1,0,0
158,2.0,625.0,16.0,3,2,1,1,0,0,0,0,0
