,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,rt_Entire_home/apt,rt_Private room,rt_Shared room,contact_me,past_booker
1,5.0,2,312.0,0.0,176,11,83.58333333333333,0,1,0,0,1,1
2,1.0,3,164.0,49.0,46,9,159.15,0,0,1,0,1,0
5,1.0,7,348.0,0.0,6,5,264.03333333333336,0,1,0,0,1,0
6,6.0,7,29.0,0.0,67,8,2.566666666666667,1,1,0,0,1,1
9,4.0,6,128.0,3.0,107,5,4.866666666666666,0,1,0,0,0,0
10,4.0,2,128.0,3.0,26,3,1269.6166666666666,0,1,0,0,1,0
11,4.0,6,280.0,0.0,71,5,4246.633333333334,0,1,0,0,0,0
13,3.0,5,165.0,12.0,109,15,2370.016666666667,0,1,0,0,0,0
14,1.0,143,395.0,9.0,40,90,22.05,1,1,0,0,0,1
16,4.0,5,81.0,21.0,50,7,16.333333333333336,0,1,0,0,0,1
17,8.0,4,149.0,5.0,121,4,5.7666666666666675,0,1,0,0,1,0
19,1.0,2,409.0,14.0,0,3,117.85,0,0,1,0,1,0
21,2.0,5,32.0,1.0,86,3,1014.2166666666667,0,0,1,0,0,1
24,5.0,10,255.0,1.0,47,8,4.666666666666667,0,1,0,0,1,0
26,2.0,5,700.0,34.0,44,7,2933.0333333333333,0,1,0,0,1,0
27,1.0,3,22.0,55.0,52,1,1.9333333333333336,0,0,1,0,0,1
30,1.0,3,85.0,1.0,3,4,910.5666666666667,0,0,1,0,1,0
31,5.0,3,69.0,2.0,56,9,23.28333333333333,0,1,0,0,1,1
33,4.0,5,69.0,0.0,15,5,3548.883333333333,1,1,0,0,1,0
35,1.0,4,366.0,0.0,115,36,677.1666666666666,0,0,1,0,1,0
36,3.0,4,496.0,29.0,19,7,87.96666666666668,0,1,0,0,0,1
37,6.0,3,142.0,26.0,133,84,1.95,0,1,0,0,1,0
38,4.0,4,243.0,0.0,181,7,101.13333333333334,0,1,0,0,0,0
40,1.0,5,537.0,7.0,199,2,806.95,0,0,1,0,0,0
42,1.0,3,166.0,17.0,75,7,38.03333333333333,0,1,0,0,1,0
44,2.0,4,611.0,0.0,216,1,2773.366666666667,0,1,0,0,1,0
45,6.0,7,414.0,16.0,8,8,69.35,1,1,0,0,1,0
49,1.0,3,141.0,13.0,1,2,961.5833333333335,0,1,0,0,1,1
51,1.0,5,660.0,0.0,80,213,2436.5,0,1,0,0,1,0
52,2.0,3,210.0,0.0,56,6,83.58333333333333,0,0,1,0,0,1
53,2.0,2,127.0,2.0,99,4,140.31666666666666,0,1,0,0,1,1
54,6.0,4,396.0,1.0,199,2,48.7,0,1,0,0,1,0
55,2.0,2,0.0,29.0,195,2,13.616666666666667,0,1,0,0,0,0
58,4.0,7,195.0,3.0,213,7,71.88333333333334,1,1,0,0,1,0
59,1.0,7,285.0,0.0,208,3,918.0333333333333,0,1,0,0,1,0
61,1.0,3,90.0,43.0,303,7,727.95,0,1,0,0,1,1
62,2.0,7,194.0,14.0,134,21,1060.2833333333335,1,1,0,0,1,1
63,2.0,6,688.0,54.0,230,62,70.5,1,1,0,0,1,0
64,2.0,3,112.0,14.0,240,4,361.13333333333327,0,0,1,0,1,1
65,9.0,2,168.0,0.0,108,7,1215.1166666666666,0,1,0,0,1,0
66,1.0,3,539.0,6.0,3,11,1280.2166666666667,0,0,1,0,0,1
67,2.0,6,628.0,1.0,135,34,495.05000000000007,0,0,1,0,0,0
69,6.0,2,62.0,2.0,253,7,1.7,0,1,0,0,1,1
70,2.0,5,515.0,14.0,237,356,12.233333333333333,0,1,0,0,1,0
71,2.0,3,57.0,5.0,25,3,678.6666666666666,0,1,0,0,1,0
73,2.0,4,4.0,0.0,125,8,7227.35,0,1,0,0,0,0
75,4.0,3,359.0,2.0,202,6,175.21666666666667,1,1,0,0,1,1
76,2.0,10,312.0,13.0,38,1,8.633333333333333,1,1,0,0,0,1
77,6.0,3,0.0,3.0,214,4,12.2,0,1,0,0,0,0
78,2.0,8,143.0,10.0,7,2,361.55,1,0,1,0,0,1
79,1.0,13,89.0,3.0,116,4,204.21666666666667,1,1,0,0,0,1
80,2.0,3,335.0,0.0,12,30,91.66666666666669,0,1,0,0,1,1
81,3.0,5,396.0,0.0,65,28,836.2333333333332,0,1,0,0,1,1
82,2.0,4,45.0,13.0,6,3,10.933333333333335,1,0,1,0,1,1
86,12.0,16,144.0,3.0,23,5,0.06666666666666668,1,1,0,0,0,0
88,4.0,20,0.0,0.0,1,4,1427.75,0,1,0,0,0,0
89,1.0,15,608.0,4.0,208,14,1076.6666666666667,1,0,1,0,0,1
93,4.0,3,37.0,0.0,9,1,553.0833333333334,0,1,0,0,0,1
94,1.0,2,301.0,0.0,185,13,982.3333333333336,0,0,0,1,1,0
96,2.0,7,370.0,18.0,345,7,38.43333333333333,0,1,0,0,0,1
97,2.0,4,227.0,0.0,37,7,16708.533333333336,0,0,1,0,0,0
99,1.0,20,461.0,0.0,57,7,186.0,1,1,0,0,1,0
100,4.0,5,146.0,0.0,59,2,1441.65,0,1,0,0,0,1
101,2.0,2,71.0,0.0,69,7,634.4166666666666,0,1,0,0,0,0
102,2.0,5,29.0,0.0,74,11,2.283333333333333,1,1,0,0,1,0
103,8.0,3,411.0,0.0,131,1,89.13333333333334,0,1,0,0,1,0
107,2.0,3,35.0,0.0,128,7,411.01666666666665,0,0,1,0,1,0
108,2.0,5,112.0,0.0,10,3,322.8,0,1,0,0,1,0
109,5.0,2,167.0,1.0,31,4,372.66666666666674,0,1,0,0,1,1
110,2.0,3,320.0,0.0,217,8,622.3,0,1,0,0,1,0
111,4.0,4,65.0,0.0,106,2,7179.583333333332,0,1,0,0,1,0
112,4.0,23,267.0,9.0,45,2,220.3,1,1,0,0,0,1
113,4.0,4,377.0,5.0,70,4,397.2,1,1,0,0,1,0
115,1.0,6,431.0,10.0,123,13,1.2666666666666666,0,1,0,0,0,0
116,6.0,10,129.0,20.0,66,3,28.85,1,1,0,0,1,0
117,2.0,5,335.0,38.0,26,5,250.6,1,1,0,0,1,1
119,1.0,5,0.0,1.0,2,1,80.73333333333333,0,1,0,0,0,0
122,1.0,7,0.0,0.0,198,3,14.6,0,1,0,0,0,0
126,6.0,14,61.0,1.0,22,5,123.35,0,1,0,0,1,0
129,6.0,3,267.0,6.0,147,3,155.75,0,1,0,0,0,0
131,1.0,6,690.0,0.0,3,3,516.5166666666668,0,1,0,0,1,1
132,1.0,2,125.0,4.0,188,7,901.7333333333332,0,1,0,0,1,0
134,4.0,7,173.0,3.0,22,8,7.0,1,1,0,0,1,1
135,2.0,23,274.0,0.0,87,16,1087.5333333333335,1,1,0,0,1,0
140,1.0,6,76.0,5.0,25,4,319.71666666666664,1,0,1,0,1,0
142,2.0,5,590.0,0.0,193,5,19.983333333333334,0,1,0,0,0,0
143,8.0,7,62.0,0.0,27,5,375.58333333333326,0,1,0,0,1,0
144,2.0,2,228.0,0.0,144,6,289.6666666666667,0,0,1,0,0,0
147,2.0,4,301.0,8.0,2,3,810.3333333333335,0,0,1,0,0,1
150,7.0,6,116.0,2.0,16,5,180.36666666666667,1,1,0,0,1,0
151,2.0,2,255.0,0.0,29,3,76.56666666666666,0,1,0,0,1,0
152,2.0,4,0.0,0.0,102,7,4274.6,0,1,0,0,0,0
156,4.0,3,787.0,4.0,133,7,1256.6166666666666,0,1,0,0,1,0
157,16.0,2,244.0,0.0,344,5,7166.25,0,1,0,0,1,0
158,2.0,4,625.0,16.0,3,2,24.16666666666667,0,1,0,0,0,0
159,2.0,9,228.0,4.0,60,32,55.21666666666667,1,1,0,0,1,1
165,1.0,13,67.0,1.0,0,2,13.216666666666667,1,0,0,1,0,1
166,4.0,17,39.0,144.0,133,2,6.966666666666668,1,1,0,0,0,1
168,4.0,2,146.0,2.0,3,2,229.95,0,1,0,0,1,0
169,1.0,3,365.0,0.0,190,6,675.0,0,1,0,0,1,0
170,2.0,5,138.0,2.0,34,7,51.2,0,1,0,0,0,1
173,2.0,3,276.0,0.0,17,3,2.85,1,1,0,0,1,0
176,2.0,3,411.0,1.0,62,16,3396.066666666666,0,0,1,0,0,0
177,2.0,29,656.0,37.0,45,2,44.8,1,0,1,0,1,0
178,4.0,30,200.0,0.0,91,21,1.7,1,1,0,0,1,0
179,2.0,2,252.0,0.0,0,2,196.38333333333333,0,1,0,0,1,1
181,2.0,12,295.0,22.0,96,4,29.98333333333333,1,1,0,0,0,1
183,2.0,2,247.0,0.0,196,5,1111.3666666666666,0,1,0,0,0,0
187,2.0,16,343.0,10.0,184,2,16.200000000000006,1,0,0,1,0,0
188,8.0,7,119.0,5.0,22,5,173.05,0,1,0,0,0,0
190,4.0,5,75.0,8.0,30,4,8.066666666666668,0,1,0,0,1,0
191,1.0,2,0.0,6.0,8,2,250.98333333333335,1,0,1,0,0,1
194,5.0,6,192.0,0.0,161,6,1185.0333333333333,0,1,0,0,1,0
