Feature,Coef
interactions_1-10,-1.7255
interactions_>30,0.9256
lead_time_>90d*interactions_1-10,-0.6576
interactions_21-30,0.6503
past_booker,0.5745
message_length_151-300*interactions_1-10,-0.5744
message_length_0-150*interactions_1-10,-0.5106
days_of_stay_>15d,-0.5073
message_length_151-300*interactions_>30,0.4228
message_length_301-450*interactions_1-10,-0.4189
reviews_0,-0.4183
lead_time_1-30d*interactions_1-10,-0.3997
lead_time_>90d*interactions_>30,0.3908
days_of_stay_1-5d,0.355
lead_time_61-90d*interactions_1-10,-0.3507
message_length_0-150,-0.3504
message_length_301-450*interactions_21-30,0.3285
lead_time_31-60d*interactions_1-10,-0.3174
message_length_>450*interactions_11-20,0.2991
message_length_0-150*interactions_21-30,0.2938
message_length_>450*interactions_>30,0.2541
days_of_stay_6-10d,0.2539
message_length_301-450*interactions_>30,0.2461
lead_time_>90d*interactions_21-30,0.241
message_length_>450,0.2256
message_length_>450*interactions_1-10,-0.2216
lead_time_1-30d*interactions_>30,0.217
reviews_>30,0.2112
lead_time_>90d*message_length_151-300,0.1976
lead_time_31-60d*interactions_>30,0.1893
lead_time_61-90d*message_length_0-150,-0.1863
lead_time_1-30d*message_length_151-300,-0.1742
lead_time_31-60d*message_length_>450,0.1674
lead_time_61-90d*message_length_301-450,0.1659
lead_time_61-90d*interactions_21-30,0.156
lead_time_1-30d*message_length_>450,0.1533
lead_time_1-30d*interactions_21-30,0.1517
interactions_11-20,0.1496
message_length_0-150*interactions_11-20,-0.1362
message_length_151-300*interactions_21-30,0.1339
lead_time_61-90d*interactions_>30,0.1286
message_length_301-450,0.1286
lead_time_1-30d*message_length_301-450,0.1216
message_length_>450*interactions_21-30,-0.106
days_of_stay_11-15d,-0.1016
lead_time_31-60d*interactions_21-30,0.1016
lead_time_>90d*message_length_301-450,-0.0998
lead_time_1-30d*message_length_0-150,-0.0904
lead_time_61-90d*interactions_11-20,0.0892
reviews_11-20,0.0887
lead_time_31-60d*message_length_151-300,-0.0833
reviews_21-30,0.0832
lead_time_>90d*message_length_>450,-0.0824
accept_t,0.0656
lead_time_>90d*message_length_0-150,-0.0601
lead_time_31-60d*message_length_301-450,-0.0591
lead_time_61-90d*message_length_151-300,0.0561
lead_time_>90d,-0.0447
lead_time_1-30d*interactions_11-20,0.0414
lead_time_31-60d*interactions_11-20,0.0379
reviews_1-10,0.0352
message_length_301-450*interactions_11-20,-0.0272
lead_time_61-90d,0.0229
lead_time_>90d*interactions_11-20,-0.0189
message_length_151-300*interactions_11-20,0.0139
lead_time_31-60d*message_length_0-150,-0.0136
lead_time_61-90d*message_length_>450,-0.0128
lead_time_31-60d,0.0114
lead_time_1-30d,0.0104
message_length_151-300,-0.0038
message_length_0-150*interactions_>30,0.0026
