,Feature,Coef
0,reply_t,-2.3377
1,1-10_interactions,-1.0791
2,21-30_interactions*11-15d_stay,0.9894
3,21-30_interactions*>450_char_message,0.8966
4,>30_interactions*>15d_stay,0.8878
5,0_reviews,-0.8778
6,21-30_interactions,0.799
7,1-10_interactions*>90d_lead_time,-0.742
8,21-30_interactions*>15d_stay,-0.5703
9,>30_interactions,0.5417
10,21-30_reviews,0.5336
11,contact_me*>90d_lead_time,0.5282
12,>30_reviews,0.526
13,past_booker*>30_interactions,0.5052
14,>30_interactions*>450_char_message,-0.4905
15,1-10_interactions*1-5d_stay,-0.4872
16,>30_interactions*151-300_char_message,0.4296
17,21-30_interactions*>90d_lead_time,0.4268
18,>30_interactions*11-15d_stay,-0.4239
19,contact_me,0.4056
20,contact_me*1-30d_lead_time,-0.4002
21,21-30_interactions*0-150_char_message,-0.3987
22,>30_interactions*301-450_char_message,0.3699
23,1-10_interactions*301-450_char_message,-0.3642
24,1-10_interactions*151-300_char_message,-0.3522
25,11-20_interactions*>15d_stay,-0.3463
26,past_booker*1-10_interactions,-0.3421
27,>30_interactions*>90d_lead_time,0.3358
28,contact_me*61-90d_lead_time,0.3351
29,11-20_reviews,0.3264
30,11-20_interactions*1-5d_stay,0.3238
31,1-10_interactions*6-10d_stay,-0.3144
32,31-60d_lead_time,0.2875
33,21-30_interactions*301-450_char_message,0.2859
34,1-10_reviews,-0.2858
35,1-10_interactions*>450_char_message,-0.2727
36,11-15d_stay,0.2423
37,11-20_interactions*>90d_lead_time,-0.241
38,>30_interactions*0-150_char_message,0.2327
39,1_guest,0.2304
40,21-30_interactions*61-90d_lead_time,0.227
41,301-450_char_message*11-15d_stay,0.2227
42,>90d_lead_time,-0.2203
43,past_booker,0.2191
44,151-300_char_message*1-5d_stay,0.2146
45,301-450_char_message,0.2136
46,>30_interactions*31-60d_lead_time,0.2081
47,21-30_interactions*6-10d_stay,0.2043
48,1-10_interactions*11-15d_stay,-0.1957
49,11-20_interactions*0-150_char_message,0.1797
50,past_booker*11-20_interactions,0.1786
51,contact_me*5-6_guests,0.177
52,21-30_interactions*1-5d_stay,0.1755
53,301-450_char_message*1-30d_lead_time,0.1634
54,>450_char_message*61-90d_lead_time,0.1615
55,151-300_char_message*11-15d_stay,-0.1581
56,1-10_interactions*31-60d_lead_time,-0.1577
57,contact_me*1_guest,-0.1534
58,1-30d_lead_time,0.1486
59,contact_me*>6_guests,0.1445
60,5-6_guests,-0.1422
61,301-450_char_message*31-60d_lead_time,0.1387
62,contact_me*2_guests,0.1349
63,11-20_interactions*11-15d_stay,-0.1276
64,>30_interactions*61-90d_lead_time,-0.1271
65,0-150_char_message*61-90d_lead_time,-0.1261
66,>30_interactions*1-30d_lead_time,0.1249
67,past_booker*21-30_interactions,-0.1226
68,>450_char_message*>90d_lead_time,-0.1199
69,21-30_interactions*31-60d_lead_time,0.1194
70,11-20_interactions*31-60d_lead_time,0.1178
71,1-10_interactions*61-90d_lead_time,-0.1168
72,11-20_interactions*>450_char_message,-0.112
73,151-300_char_message*31-60d_lead_time,0.1118
74,11-20_interactions*6-10d_stay,0.111
75,>15d_stay,-0.1107
76,0-150_char_message*6-10d_stay,-0.1046
77,contact_me*3-4_guests,0.1025
78,1-10_interactions*0-150_char_message,-0.09
79,0-150_char_message*11-15d_stay,0.0898
80,>450_char_message*11-15d_stay,0.0879
81,0-150_char_message*31-60d_lead_time,0.0866
82,151-300_char_message*6-10d_stay,0.0838
83,1-10_interactions*>15d_stay,-0.0818
84,>450_char_message*1-5d_stay,-0.0793
85,11-20_interactions*301-450_char_message,-0.0781
86,151-300_char_message*>15d_stay,-0.0765
87,0-150_char_message,-0.0763
88,301-450_char_message*1-5d_stay,-0.0731
89,151-300_char_message,0.0638
90,1-10_interactions*1-30d_lead_time,-0.0626
91,151-300_char_message*>90d_lead_time,-0.0624
92,11-20_interactions*1-30d_lead_time,0.0606
93,contact_me*31-60d_lead_time,-0.0575
94,3-4_guests,0.0566
95,1-5d_stay,0.0546
96,0-150_char_message*>15d_stay,-0.054
97,>450_char_message*31-60d_lead_time,-0.0496
98,301-450_char_message*61-90d_lead_time,-0.0484
99,301-450_char_message*>15d_stay,0.0449
100,2_guests,0.043
101,>30_interactions*1-5d_stay,0.0425
102,301-450_char_message*>90d_lead_time,-0.0401
103,11-20_interactions,-0.0391
104,0-150_char_message*1-30d_lead_time,-0.039
105,contact_me*past_booker,0.039
106,>450_char_message*6-10d_stay,0.0379
107,6-10d_stay,0.0362
108,>30_interactions*6-10d_stay,0.0353
109,>6_guests,0.0346
110,>450_char_message*1-30d_lead_time,0.0294
111,11-20_interactions*151-300_char_message,-0.0288
112,21-30_interactions*1-30d_lead_time,0.0257
113,>450_char_message*>15d_stay,-0.025
114,11-20_interactions*61-90d_lead_time,0.0235
115,>450_char_message,0.0214
116,151-300_char_message*61-90d_lead_time,0.0196
117,301-450_char_message*6-10d_stay,0.0191
118,21-30_interactions*151-300_char_message,0.0152
119,0-150_char_message*1-5d_stay,-0.0076
120,61-90d_lead_time,0.0066
121,151-300_char_message*1-30d_lead_time,-0.0052
122,0-150_char_message*>90d_lead_time,0.0021
